0,1,2
Ownership,Affiliation,No.
Government,MOHFW,7
,"Armed Forces Medical Institute, Dhaka Cantonment, Dhaka",1
,"Faculty of Nursing BSMMU, Dhaka",1
,Sub-total (Government),9
Private,Private (one institution has been closed),13
,Sub-total (BSc in Nursing),22
Government,MOHFW,4
Private,Private,10
,Sub-total (Post-basic BSc in Nursing),14
